Complexity metrics,Fri, 25 May 2018 21:34:14 EEST
Method,ev(G),iv(G),v(G)
"gr.aueb.softeng.project1806.model.Leg.Leg(int,Stop,Stop)",1,1,1
"gr.aueb.softeng.project1806.model.Leg.addBusTimetable(BusTimetable)",1,2,2
"gr.aueb.softeng.project1806.model.Leg.friendBusTimetables()",1,1,1
"gr.aueb.softeng.project1806.model.Leg.getBusTimetableSet()",1,1,1
"gr.aueb.softeng.project1806.model.Leg.getEndStop()",1,1,1
"gr.aueb.softeng.project1806.model.Leg.getLegLength()",1,1,1
"gr.aueb.softeng.project1806.model.Leg.getStartStop()",1,1,1
"gr.aueb.softeng.project1806.model.Leg.removeBusTimetable(BusTimetable)",1,2,2
"gr.aueb.softeng.project1806.model.Leg.setEndStop(Stop)",1,1,1
"gr.aueb.softeng.project1806.model.Leg.setLegLength(int)",1,1,1
"gr.aueb.softeng.project1806.model.Leg.setStartStop(Stop)",1,1,1
"gr.aueb.softeng.project1806.model.LegTest.addBusTimetable()",1,1,1
"gr.aueb.softeng.project1806.model.LegTest.addBusTimetableNull()",1,1,1
"gr.aueb.softeng.project1806.model.LegTest.bustimetableBidirectionalAssociationInvariant(Leg)",1,2,2
"gr.aueb.softeng.project1806.model.LegTest.getEndStop()",1,1,1
"gr.aueb.softeng.project1806.model.LegTest.getLegLength()",1,1,1
"gr.aueb.softeng.project1806.model.LegTest.getStartStop()",1,1,1
"gr.aueb.softeng.project1806.model.LegTest.removeBusTimetable()",1,1,1
"gr.aueb.softeng.project1806.model.LegTest.removeBusTimetableNull()",1,1,1
"gr.aueb.softeng.project1806.model.LegTest.setEndStop()",1,1,1
"gr.aueb.softeng.project1806.model.LegTest.setLegLength()",1,1,1
"gr.aueb.softeng.project1806.model.LegTest.setStartStop()",1,1,1
"gr.aueb.softeng.project1806.model.LegTest.setUp()",1,1,1
"gr.aueb.softeng.project1806.model.Line.Line()",1,1,1
"gr.aueb.softeng.project1806.model.Line.Line(String,String)",1,1,1
"gr.aueb.softeng.project1806.model.Line.addBusTimetable(BusTimetable)",1,2,2
"gr.aueb.softeng.project1806.model.Line.addStop(Stop)",1,2,2
"gr.aueb.softeng.project1806.model.Line.getEnd()",1,1,1
"gr.aueb.softeng.project1806.model.Line.getLineCode()",1,1,1
"gr.aueb.softeng.project1806.model.Line.getLineName()",1,1,1
"gr.aueb.softeng.project1806.model.Line.getStart()",1,1,1
"gr.aueb.softeng.project1806.model.Line.getStops()",1,1,1
"gr.aueb.softeng.project1806.model.Line.getTimetables()",1,1,1
"gr.aueb.softeng.project1806.model.Line.removeBusTimetable(BusTimetable)",1,2,3
"gr.aueb.softeng.project1806.model.Line.removeStop(Stop)",1,2,2
"gr.aueb.softeng.project1806.model.Line.setEnd(Stop)",1,1,1
"gr.aueb.softeng.project1806.model.Line.setLineCode(String)",1,1,1
"gr.aueb.softeng.project1806.model.Line.setLineName(String)",1,1,1
"gr.aueb.softeng.project1806.model.Line.setStart(Stop)",1,1,1
"gr.aueb.softeng.project1806.model.LineTest.addBusTimetable()",1,1,1
"gr.aueb.softeng.project1806.model.LineTest.addBusTimetableNull()",1,1,1
"gr.aueb.softeng.project1806.model.LineTest.addStop()",1,1,1
"gr.aueb.softeng.project1806.model.LineTest.addStopNull()",1,1,1
"gr.aueb.softeng.project1806.model.LineTest.getEnd()",1,1,1
"gr.aueb.softeng.project1806.model.LineTest.getLineCode()",1,1,1
"gr.aueb.softeng.project1806.model.LineTest.getLineName()",1,1,1
